"ID";"DTM";"P";"T";"RM"
"HRADISTE";1938-04-15;82.36;2.838;52.244
"HRADISTE";1938-05-15;53.08;9.183;30.927
"HRADISTE";1938-06-15;112.97;15.013;30.351
"HRADISTE";1938-07-15;104.55;15.614;24.117
"HRADISTE";1938-08-15;162.79;15.939;39.546
"HRADISTE";1938-09-15;173.55;11.017;66.866
"HRADISTE";1938-10-15;43.67;7.963;34.981
"HRADISTE";1938-11-15;35.36;3.01;32.62
"HRADISTE";1938-12-15;37.58;-5.281;26.216
"HRADISTE";1939-01-15;73.31;-2.578;25.315
"HRADISTE";1939-02-15;33.78;-1.986;24.664
"HRADISTE";1939-03-15;82.17;-1.142;24.965
"HRADISTE";1939-04-15;66.57;7.79;83.869
"HRADISTE";1939-05-15;87.71;9.167;42.306
"HRADISTE";1939-06-15;44.5;14.113;28.72
"HRADISTE";1939-07-15;125.25;15.851;28.272
"HRADISTE";1939-08-15;248.48;15.814;76.502
"HRADISTE";1939-09-15;38.25;11.016;29.278
"HRADISTE";1939-10-15;44.67;5.138;25.503
"HRADISTE";1939-11-15;44.26;1.972;28.863
"HRADISTE";1939-12-15;60.85;-6.126;21.657
"HRADISTE";1940-01-15;40.34;-12.35;16.055
"HRADISTE";1940-02-15;20.57;-8.749;12.22
"HRADISTE";1940-03-15;82.45;-0.595;17.474
"HRADISTE";1940-04-15;18.65;5.792;56.324
"HRADISTE";1940-05-15;175.53;9.245;84.915
"HRADISTE";1940-06-15;143.94;14.1;59.825
"HRADISTE";1940-07-15;112.44;14.685;42.923
"HRADISTE";1940-08-15;90.33;13.018;33.263
"HRADISTE";1940-09-15;117.58;11.671;46.139
"HRADISTE";1940-10-15;87.6;6.725;46.569
"HRADISTE";1940-11-15;61.46;2.251;45.372
"HRADISTE";1940-12-15;57.99;-7.445;31.134
"HRADISTE";1941-01-15;22.05;-8.251;23.57
"HRADISTE";1941-02-15;24.78;-3.242;23.191
"HRADISTE";1941-03-15;71.08;1.176;55.799
"HRADISTE";1941-04-15;42.73;4.073;49.254
"HRADISTE";1941-05-15;94.59;7.597;39.959
"HRADISTE";1941-06-15;85.98;14.144;29.928
"HRADISTE";1941-07-15;112.8;16.169;26.926
"HRADISTE";1941-08-15;102.58;14.129;20.899
"HRADISTE";1941-09-15;99.25;10.101;29.083
"HRADISTE";1941-10-15;55.09;6.216;25.431
"HRADISTE";1941-11-15;78.13;-1.661;23.51
"HRADISTE";1941-12-15;76.35;-2.49;22.524
"HRADISTE";1942-01-15;55.82;-12.577;15.882
"HRADISTE";1942-02-15;42.58;-7.331;12.827
"HRADISTE";1942-03-15;77.62;-0.895;17.451
"HRADISTE";1942-04-15;114.99;4.9;93.959
"HRADISTE";1942-05-15;76.65;10.882;92.551
"HRADISTE";1942-06-15;97.41;13.128;50.073
"HRADISTE";1942-07-15;172.66;14.885;68.305
"HRADISTE";1942-08-15;135.14;15.677;55.976
"HRADISTE";1942-09-15;67.97;14.529;35.189
"HRADISTE";1942-10-15;103.46;9.316;50.092
"HRADISTE";1942-11-15;51.96;0.072;43.497
"HRADISTE";1942-12-15;83.76;-2.468;36.053
"HRADISTE";1943-01-15;36.64;-5.839;28.56
"HRADISTE";1943-02-15;46.4;-0.328;29.71
"HRADISTE";1943-03-15;16.22;2.843;45.974
